"","x"
"1",-0.0199392392900259
"2",0.0155927983465789
"3",-0.0213005864998663
"4",-0.0110355297860472
"5",0.260440592247721
"6",0.244734748709982
"7",0.0908701503269754
"8",-1.93442331441597
"9",-0.337006170630737
"10",-0.170832887906322
"11",4.48673773450612e-05
"12",-0.00287714360692711
"13",-0.0139376330159053
"14",-0.00444225662907551
"15",-0.00420675314504312
"16",0.0886104041620157
"17",0.0496853552594868
"18",0.00826167359524197
"19",0.000240107986693895
"20",-0.0023286476529644
"21",2.8731693021976
"22",0.0223005012064447
